4.08203 0.228798 0.282091  0.122529 0.228405 0.224621 0.21266
4.10156 0.236476 0.244614  0.150027 0.242079 0.234113 0.221266
4.12109 0.244504 0.259223  0.182476 0.256254 0.24398 0.230346
4.14062 0.252902 0.299671  0.219003 0.270772 0.254207 0.239908
4.16016 0.261688 0.327523  0.258538 0.285466 0.26478 0.249957
4.17969 0.270882 0.330327  0.299862 0.300166 0.275692 0.260499
4.19922 0.280505 0.348462  0.341651 0.314707 0.286935 0.271535
4.21875 0.290579 0.323775  0.382541 0.328936 0.298508 0.283066
4.23828 0.301127 0.35819  0.421184 0.342718 0.310416 0.295091
4.25781 0.312171 0.363985  0.456315 0.355948 0.322665 0.307607
4.27734 0.323737 0.382781  0.486809 0.368552 0.335271 0.320606
4.29688 0.335848 0.430027  0.51174 0.380493 0.348251 0.334081
4.31641 0.348529 0.405531  0.530428 0.391778 0.36163 0.348022
4.33594 0.361805 0.448025  0.542474 0.402455 0.375435 0.362414
4.35547 0.375702 0.455492  0.547793 0.412619 0.389698 0.377241
4.375 0.390244 0.430355  0.546619 0.422404 0.404451 0.392484
4.39453 0.405454 0.462117  0.539508 0.431985 0.419729 0.408121
4.41406 0.421356 0.467413  0.527318 0.441568 0.435565 0.424124
4.43359 0.437969 0.487717  0.511176 0.451388 0.451989 0.440466
4.45312 0.455313 0.530889  0.492435 0.461693 0.46903 0.457112
4.47266 0.473403 0.49829  0.472615 0.472741 0.486707 0.474026
4.49219 0.492249 0.576266  0.453336 0.484785 0.505033 0.491167
4.51172 0.511856 0.555165  0.436248 0.498065 0.524011 0.50849
4.53125 0.532225 0.571258  0.422951 0.512791 0.54363 0.525948
4.55078 0.553345 0.580683  0.414923 0.529139 0.563871 0.543486
4.57031 0.5752 0.596184  0.413445 0.54724 0.584695 0.56105
4.58984 0.59776 0.5733  0.41954 0.567167 0.606052 0.578579
4.60938 0.620982 0.603628  0.433919 0.588934 0.627873 0.59601
4.62891 0.644811 0.673165  0.456939 0.612491 0.650075 0.613277
4.64844 0.669172 0.644271  0.48858 0.637719 0.672557 0.630311
4.66797 0.693973 0.690867  0.528437 0.664433 0.695205 0.647039
4.6875 0.719101 0.660657  0.575731 0.692386 0.717889 0.66339
4.70703 0.744423 0.67226  0.629336 0.721273 0.740467 0.679287
4.72656 0.76978 0.71381  0.68782 0.750738 0.762786 0.694657
4.74609 0.794992 0.699275  0.749507 0.780388 0.784685 0.709423
4.76562 0.819856 0.681582  0.812544 0.8098 0.805995 0.723511
4.78516 0.844144 0.740237  0.87498 0.838535 0.826545 0.736847
4.80469 0.867613 0.764537  0.934852 0.866154 0.846165 0.74936
4.82422 0.889999 0.784828  0.990265 0.892227 0.864683 0.760982
4.84375 0.911032 0.791838  1.03948 0.916349 0.881936 0.771646
4.86328 0.930433 0.79065  1.08097 0.938153 0.897768 0.781291
4.88281 0.947929 0.807444  1.11353 0.957317 0.912033 0.789863
4.90234 0.963255 0.768648  1.13627 0.973576 0.9246 0.797308
4.92188 0.976168 0.817278  1.1487 0.986728 0.93535 0.803582
4.94141 0.986453 0.814147  1.15071 0.996637 0.944185 0.808647
4.96094 0.993934 0.819689  1.14259 1.00324 0.951021 0.81247
4.98047 0.998476 0.814641  1.12503 1.00653 0.955799 0.815026
5 1 0.785753  1.09905 1.00658 0.958474 0.816298
5.01953 0.998476 0.808227  1.06596 1.00351 0.959026 0.816275
5.03906 0.993934 0.778789  1.0273 0.997506 0.957453 0.814955
5.05859 0.986453 0.798391  0.984801 0.988783 0.953773 0.812343
5.07812 0.976168 0.826465  0.940231 0.977595 0.94802 0.808451
5.09766 0.963255 0.793706  0.895375 0.964219 0.940251 0.803299
5.11719 0.947929 0.76107  0.851934 0.948939 0.930533 0.796914
5.13672 0.930433 0.797772  0.811448 0.932043 0.918952 0.789329
5.15625 0.911032 0.764665  0.775231 0.913809 0.905604 0.780583
5.17578 0.889999 0.73276  0.744317 0.894495 0.890597 0.770725
5.19531 0.867613 0.725273  0.719421 0.874334 0.87405 0.759803
5.21484 0.844144 0.784659  0.700907 0.853529 0.856088 0.747876
5.23438 0.819856 0.727848  0.688787 0.832248 0.836841 0.735005
5.25391 0.794992 0.768803  0.682726 0.810624 0.816446 0.721254
5.27344 0.76978 0.727779  0.682067 0.788752 0.795041 0.706693
5.29297 0.744423 0.700009  0.685868 0.766695 0.772768 0.691393
5.3125 0.719101 0.662155  0.69296 0.744489 0.749765 0.675428
5.33203 0.693973 0.661576  0.702005 0.722144 0.726175 0.658876
5.35156 0.669172 0.673206  0.711564 0.699652 0.702136 0.641811
5.37109 0.644811 0.664824  0.720174 0.676996 0.677785 0.624314
5.39062 0.620982 0.637509  0.726419 0.654156 0.653253 0.606461
5.41016 0.59776 0.631325  0.728997 0.631116 0.628672 0.588331
5.42969 0.5752 0.618998  0.72679 0.607871 0.604165 0.570001
5.44922 0.553345 0.571705  0.71891 0.584432 0.579852 0.551545
5.46875 0.532225 0.565306  0.704749 0.56083 0.555847 0.533039
5.48828 0.511856 0.527744  0.684002 0.537123 0.532256 0.514552
5.50781 0.492249 0.558528  0.656685 0.513392 0.50918 0.496153
5.52734 0.473403 0.514918  0.623132 0.489747 0.48671 0.477908
5.54688 0.455313 0.504567  0.583981 0.466318 0.464931 0.459878
5.56641 0.437969 0.529219  0.540144 0.44326 0.443916 0.44212
5.58594 0.421356 0.477373  0.492764 0.42074 0.423732 0.42469
5.60547 0.405454 0.44592  0.443164 0.398937 0.404431 0.407635
5.625 0.390244 0.42983  0.392788 0.378033 0.386059 0.390999
5.64453 0.375702 0.448673  0.343131 0.358207 0.368649 0.374823
5.66406 0.361805 0.463751  0.295678 0.339623 0.352221 0.359141
5.68359 0.348529 0.420179  0.251836 0.322429 0.336786 0.343981
5.70312 0.335848 0.37961  0.21287 0.306745 0.322342 0.329368
5.72266 0.323737 0.378246  0.17985 0.292661 0.308877 0.315321
5.74219 0.312171 0.366891  0.153604 0.280228 0.296368 0.301855
5.76172 0.301127 0.336283  0.134684 0.269456 0.28478 0.288978
5.78125 0.290579 0.308553  0.123345 0.260315 0.274072 0.276696
5.80078 0.280505 0.317924  0.119533 0.252731 0.264192 0.265008
5.82031 0.270882 0.292938  0.122893 0.246588 0.255082 0.253911
5.83984 0.261688 0.306025  0.132785 0.241734 0.246678 0.243397
5.85938 0.252902 0.322776  0.148315 0.237983 0.238912 0.233455
5.87891 0.244504 0.282066  0.168377 0.235122 0.231713 0.224071
5.89844 0.236476 0.27531  0.191698 0.232921 0.22501 0.215229
5.91797 0.228798 0.322669  0.216903 0.231135 0.218731 0.206908
5.9375 0.221453 0.258164  0.242565 0.229519 0.212808 0.199088
5.95703 0.214425 0.236474  0.267272 0.227835 0.207176 0.191747
5.97656 0.207697 0.268411  0.289685 0.225857 0.201774 0.184861
5.99609 0.201255 0.210112  0.308594 0.223386 0.196548 0.178406
6.01562 0.195085 0.231928  0.322963 0.220252 0.191453 0.172357
6.03516 0.189172 0.215364  0.331977 0.216319 0.186449 0.166691
6.05469 0.183504 0.218208  0.335067 0.211497 0.181507 0.161381
6.07422 0.17807 0.21631  0.33193 0.205735 0.176606 0.156405
6.09375 0.172856 0.195749  0.322537 0.199032 0.171733 0.15174
6.11328 0.167853 0.218516  0.307131 0.191428 0.166884 0.147362
6.13281 0.163051 0.170656  0.286208 0.18301 0.162064 0.14325
6.15234 0.158439 0.206321  0.260494 0.1739 0.157283 0.139384
6.17188 0.154008 0.165729  0.230905 0.164256 0.152557 0.135744
6.19141 0.14975 0.142332  0.198514 0.154265 0.14791 0.132313
6.21094 0.145656 0.174795  0.164495 0.144132 0.143366 0.129073
6.23047 0.141719 0.159803  0.130076 0.134075 0.138953 0.126007
6.25 0.137931 0.139204  0.0964903 0.124314 0.134699 0.123101
6.26953 0.134285 0.166103  0.064921 0.115067 0.130632 0.120341
6.28906 0.130775 0.159214  0.0364579 0.106537 0.126778 0.117712
6.30859 0.127394 0.136346  0.0120543 0.0989077 0.123159 0.115202
6.32812 0.124136 0.138946  -0.0075082 0.0923335 0.119794 0.1128
6.34766 0.120996 0.110554  -0.0216473 0.0869374 0.116694 0.110494
6.36719 0.117969 0.150304  -0.029999 0.0828044 0.113869 0.108272
